Added 	 增加
(.*)[Nn]ot matching expression (.*)	$1不匹配表达式$2
(.*)[Nn]ot matching regex (.*)	$1不匹配正则$2
(.*)[Ss]howing only commented and highlighted items(.*)	$1仅显示带注释及高亮的项目$2
(.*)[Ss]howing only commented items(.*)	$1仅显示带注释的项目$2
(.*)[Ss]howing only highlighted items(.*)	$1仅显示高亮的项目$2
(.*)[Ss]howing only listener (.*)	$1仅显示侦听器(listener)$2
(.*)[Ss]howing specific extensions(.*)	$1显示指定的扩展名$2
(.*)\[Pro version only\](.*)	$1[仅限专业版]$2
(.*)\[Pro version with 64-bit Java only\](.*)	$1[仅限64位Java的专业版]$2
(.*)\[disk projects only\](.*)	$1[仅限磁盘项目]$2
(.*: )excellent.	$1非常好。
(.*: )extremely poor.	$1非常糟糕。
(.*: )poor.	$1比较差。
(.*: )reasonable.	$1合理的。
(.*: )very good.	$1非常好。
(.*: )very poor.	$1非常差。
(Leave blank to run once only)	(如果您只想运行一次，请留空)
([,0-9]+) bytes \| ([0-9]+) millis	$1字节 | $2毫秒
([,0-9]+) bytes?	$1字节
([,0-9]+) highlights?	$1高亮
([,0-9]+) issues selected	$1选择问题
([,0-9]+) items selected	$1选择项目
([,0-9]+) results selected	$1选择结果
([,0-9]+) submissions?	$1提交
([0-9]+) \(approx\)	约$1
([0-9]+) \(max\)	$1 (最大)
([0-9]+) anomalies were identified in this test:	在此测试中发现了异常:
([0-9]+) bits failed the test. The following ([0-9]+) bits passed the test: ([0-9]+)(, [0-9]+)*.(.*)	$1bits 测试失败 以下$2 位成功通过测试 $3$4$5
([0-9]+) bits passed the test. The following ([0-9]+) bits failed the test: ([0-9]+)(, [0-9]+)*.(.*)	$1bits 通过了测试。以下$2位未能通过测试: $3$4$5
([0-9]+) items added to site map	项目已添加到站点地图中
([0-9]+) items?	$1项目
([0-9]+) letter words	$1字母词
([0-9]+) locations crawled	$1目录爬行
([0-9]+) payload positions?	$1payload 位置？
([0-9]+) requests \(([0-9]+) errors\)	$1请求($2错误)
([0-9]+) responses processed	$1响应处理
([0-9]+) responses queued	$1响应添加到队列中
([0-9]+) results?	$1结果
([0-9]+) tokens were padded with (.*) at the end.	$1令牌(tokens)在最后使用$2填充。
([0-9]+) tokens were padded with (.*) at the start.	$1令牌(tokens)在开始时用$2填充。
([0-9]+)% complete	$1%完成
([0-9]+)\. Audit of (.*)	$1. $2 的审计
([0-9]+)\. Crawl and audit of (.*)	$1. $2 的爬行和审计
([0-9]+)\. Crawl of (.*)	$1. $2 的爬行
([0-9]+)\. Live audit from (Proxy|Repeater) and (Repeater|Intruder) \(all traffic\)	$1. 来自 $2 和 $3 模块的实时审计（所有流量）
([0-9]+)\. Live audit from (Proxy|Repeater) and (Repeater|Intruder) \(custom scope\)	$1. 来自 $2 和 $3 模块的实时审计（自定义范围）
([0-9]+)\. Live audit from (Proxy|Repeater) and (Repeater|Intruder) \(suite scope\)	$1. 来自 $2 和 $3 模块的实时审计（套件范围）
([0-9]+)\. Live audit from (Proxy|Repeater|Intruder) \(all traffic\)	$1. 来自 $2 模块的实时审计（所有流量）
([0-9]+)\. Live audit from (Proxy|Repeater|Intruder) \(custom scope\)	$1. 来自 $2 模块的实时审计（自定义范围）
([0-9]+)\. Live audit from (Proxy|Repeater|Intruder) \(suite scope\)	$1. 来自 $2 模块的实时审计（套件范围）
([0-9]+)\. Live audit from Proxy, Repeater and Intruder \(all traffic\)	$1. 来自 Proxy,重放器,攻击器 模块的实时审计（所有流量）
([0-9]+)\. Live audit from Proxy, Repeater and Intruder \(custom scope\)	$1. 来自 Proxy,重放器,攻击器 模块的实时审计（自定义范围）
([0-9]+)\. Live audit from Proxy, Repeater and Intruder \(suite scope\)	$1. 来自 Proxy,重放器,攻击器 模块的实时审计（套件范围）
([0-9]+)\. Live passive crawl from (Proxy|Repeater) and (Repeater|Intruder) \(all traffic\)	$1. 来自 $2 和 $3 模块的实时被动爬行（所有流量）
([0-9]+)\. Live passive crawl from (Proxy|Repeater) and (Repeater|Intruder) \(custom scope\)	$1. 来自 $2 和 $3 模块的实时被动爬行（自定义范围）
([0-9]+)\. Live passive crawl from (Proxy|Repeater) and (Repeater|Intruder) \(suite scope\)	$1. 来自 $2 和 $3 模块的实时被动爬行（套件范围）
([0-9]+)\. Live passive crawl from (Proxy|Repeater|Intruder) \(all traffic\)	$1. 来自 $2 模块的实时被动爬行（所有流量）
([0-9]+)\. Live passive crawl from (Proxy|Repeater|Intruder) \(custom scope\)	$1. 来自 $2 模块的实时被动爬行（自定义范围）
([0-9]+)\. Live passive crawl from (Proxy|Repeater|Intruder) \(suite scope\)	$1. 来自 $2 模块的实时被动爬行（套件范围）
([0-9]+)\. Live passive crawl from Proxy, Repeater and Intruder \(all traffic\)	$1. 来自 Proxy,重放器,攻击器 模块的实时被动爬行（所有流量）
([0-9]+)\. Live passive crawl from Proxy, Repeater and Intruder \(custom scope\)	$1. 来自 Proxy,重放器,攻击器 模块的实时被动爬行（自定义范围）
([0-9]+)\. Live passive crawl from Proxy, Repeater and Intruder \(suite scope\)	$1. 来自 Proxy,重放器,攻击器 模块的实时被动爬行（套件范围）
([0-9]+)h ([0-9]+)m ([0-9]+)s	$1时间 $2分 $3秒
([0-9]+)m ([0-9]+)s	$1分 $2秒
([0-9]+)s	$1秒
([1-9][0-9]*) match(es)?	$1匹配
([A-Z]+) request to (.*)	$2 的 $1 请求
0 matches	没有匹配
0 positions	没有位置
1 (LSB)	1(最重要的一点)
1. Click the "Copy Clickbandit to clipboard" button below. This will copy the Clickbandit script to your clipboard.	1.单击下面的“将Clickbandit复制到剪贴板”按钮。 这会将Clickbandit脚本复制到剪贴板。
1. Using your browser, go to the following URL:	1.使用浏览器，转到以下URL：
2. Copy the following data into the activation request field in your browser:	2.将以下数据复制到浏览器的激活请求字段：
2. In your browser, visit the web page that you want to test, in the usual way.	2.在浏览器中，像平常一样访问要测试的网页。
2xx  [success]	2xx  [成功]
3. In your browser, open the web developer console. This might also be called "developer tools" or "JavaScript console".	3.在浏览器中，打开Web开发人员控制台。 这也称为“开发人员工具”或“JavaScript控制台”。
3. Paste below the data from the activation response field in your browser:	3.从浏览器的激活响应字段中，粘贴下一个数据：
3xx  [redirection]	3xx  [重定向]
3xx status code with Location header	带Location头部的3xx状态代码
4. Paste the Clickbandit script into the web developer console, and press enter.	4.将Clickbandit脚本粘贴到Web开发人员控制台中，然后按Enter键。
4xx  [request error]	4xx  [请求错误]
5xx  [server error]	5xx  [服务器错误]
8 (MSB)	8(最重要的一点)
A backup of the project has been found, please indicate whether you would like to attempt a repair of the project or open the backup.	找到了一个项目的备份。 请指定是修复项目还是打开备份文件。
A built-in configuration has the same name	已经有一个内置的设置使用了相同的名字。
A communications error occurred. Please review your connection settings and retry, or attempt to perform manual activation.	发生了一个通信错误。 请检查连接设置并重试，或执行手动激活。
A macro is a sequence of one or more requests. You can use macros within session handling rules to perform tasks such as logging in to the application, obtaining anti-CSRF tokens, etc.	宏是一个或多个请求的序列。 您可以在会话处理规则中使用宏来执行诸如登录应用程序和获取CSRF明天令牌等任务。
A new version of Burp is available.	一个新版本的Burp已经可以获取。
A resource pool is a grouping of tasks that share a quota of network resources. Each resource pool can be configured with its own throttling settings which control the number of requests that can be made concurrently, or the rate at which requests can be made, or both.	资源池是一组共享网络资源分配的任务。 可以将每个资源池配置为调整并发请求数，请求速度或两者。
AMF string parameters (use with caution)	AMF字符串参数（请谨慎使用）
AMF version(\s*)	AMF版本$1
API Keys	API键
API key is only available at time of initial generation	API密钥仅在初始创建时可用
API keys are secrets and should be handled carefully. You cannot retrieve an existing API key from Burp after it has been created.	API密钥是保密的，需要谨慎对待。 创建后无法从Burp获取API密钥。
APIs	API
ASCII hex	ASCII十六进制数
ASP.NET ViewState without MAC enabled(\s+\[[0-9]+\])?	MAC无效 ASP.NET ViewState$1
ASP.NET debugging enabled(\s+\[[0-9]+\])?	ASP.NET调试已启用$1
ASP.NET tracing enabled(\s+\[[0-9]+\])?	ASP.NET跟踪已启用$1
About	Burp Suite 关于Burp Suite
About Burp Scanner	关于Burp Scanner
Accept cookies	接受cookie
Action	动作
Action URL	目标 URL
Action URL and method	目标网址和方法
Action URL, method and fields	目标网址，方法，字段
Action URL, method, fields and values	目标网址，方法，字段，值
Action URL:	目标URL:
Activate License	激活许可证
Activation Failed	激活失败
Active Scanning Areas	主动扫描区域
Active Scanning Engine	主动扫描引擎
Active Scanning Optimization	主动扫描优化
Active and passive scanning	主动和被动扫描
Active checks	主动检查
Active phases	活跃期
Active scanning only	仅限主动扫描
Active scanning wizard	主动扫描向导
Actively scan all in-scope traffic through Proxy	主动扫描通过Proxy的所有范围内流量
Actively scan defined insertion points	主动扫描定义的插入点
Actively scan selected items	主动扫描所选项目
Actively scan this branch	主动扫描此分支
Actively scan this host	主动扫描此主机
Add	添加
Add "skip parameter" rule	添加“跳过参数”规则
Add % prefix before each byte	在每个字节前添加％
Add SSL passthrough target	添加SSL穿透的目标
Add URL to exclude from scope	添加要从范围中排除的URL
Add URL to include in scope	添加要包括在范围中的URL
Add a new action	添加一个新动作
Add a new client certificate	添加一个新的客户端证书
Add a new custom parameter location	添加自定义参数位置
Add a new extract item	添加新提取的项目
Add a new form field completion rule	添加了新表单字段完成规则
Add a new header	添加新头部
Add a new interception rule	添加新的拦截规则
Add a new item	添加新项目
Add a new item by pasting a URL	粘贴网址并添加新项目
Add a new listener	添加一个侦听器
Add a new macro	添加一个新的宏
Add a new match/replace rule	添加一个新的匹配/替换规则
Add a new parameter	添加一个新参数
Add a new payload processing rule	添加一个新的有效载荷处理规则
Add a new proxy listener	添加一个新的代理侦听器
Add a new task	添加新任务
Add a new upstream proxy rule	添加一条新的上行代理规则
Add all items requested through Proxy to site map	通过代理将请求的所有项目添加到Sitemap中
Add all links observed in traffic through Proxy to site map	将通过代理服务器观察到的所有链接添加到Sitemap
Add comment	添加评论
Add cookies received in responses to the session handling cookie jar	添加响应中收到的cookies到会话处理cookie jar中
Add discovered content to suite site map	将发现的内容添加到Sitemap
Add entries here to override your computer's DNS resolution.	在此处添加以覆盖计算机的DNS名称解析。
Add form field completion rule	添加表单字段完成规则
Add from list ...	从列表中添加...
Add from list ... [Pro version only]	从列表中添加... [仅限专业版]
Add hostname resolution rule	添加主机名解析规则
Add links. Add item itself, same domain and URLs in suite scope.	添加链接，添加自己的网址，同一域名，套件范围。
Add match/replace rule	添加搜索/替换规则
Add payload processing rule	添加有效载荷处理规则
Add platform authentication credentials	添加平台身份验证凭据
Add prefix	添加前缀
Add prefix for in-scope URLs	添加范围内URL的前缀
Add prefix for out-of-scope URLs	为超出范围的 URL 添加前缀
Add random variations	添加随机变化
Add random variations to throttle	添加随机的变化到请求中(增加隐蔽性)
Add raw payload	添加原始payload
Add request header	添加请求标头
Add request interception rule	添加请求拦截规则
Add response interception rule	添加响应拦截规则
Add streaming URL	添加流式 URL
Add streaming URL prefix	添加流式 URL 前缀
Add suffix	添加后缀
Add the specified item	添加指定的项目
Add to scope	添加到范围
Add to site map	添加到站点地图
Add to task	添加到任务
Add to task: (.*)	添加到任务：$1
Add upstream proxy rule	添加上行代理规则
Add §	添加 §
Additional encrypted strings - optional	附加加密字符串-可选
Additional encrypted strings - optional \(([0-9]+)\)	附加加密字符串-可选($1)
Advisory	咨询
After recovering session:	会话恢复后：
After running the macro, invoke a Burp extension action handler:	执行宏后，执行Burp扩展操作处理程序：
Ajax request header manipulation \(DOM-based\)(\s+\[[0-9]+\])?	Ajax请求头操作（DOM基础）$1
Ajax request header manipulation \(reflected DOM-based\)(\s+\[[0-9]+\])?	Ajax请求头操作（反射DOM基础）$1
Ajax request header manipulation \(stored DOM-based\)(\s+\[[0-9]+\])?	Ajax请求头操作（累积类型DOM基础）$1
Alerts	警告
Target	目标
Alias	別名
All	全部
All bits failed the test. 	全部的bits都没有通过测试。
All bits passed the test. 	全部的bits都通过了测试。
All bits passed the test. Note that the FIPS specification for this test only records a fail if the longest run of bits is overly long. However, an overly short longest run of bits also indicates that the sample is not random. Therefore some bits may record a significance level that is below the FIPS pass level even though they do not strictly fail the FIPS test.	全部的bits都通过了测试。需要注意的是，如果最长的位序列太长，则此测试的FIPS规范将失败。 然而，最长的位序列太短也表明样本不是随机的。 因此，某些位可能低于FIPS通过级别，尽管它们不会通过严格的FIPS测试。
All interfaces	所有接口
All issues	所有问题
All items were successfully cleaned up.	所有项目均已成功删除。
All rows	所有行
All tests were successful. 	所有的测试都是成功的。
All tools:	所有工具:
Allow access without API key (using this option is not secure)	允许在没有API密钥的情况下访问（此选项不安全）
Allow renderer to make HTTP requests (for images, etc.)	允许渲染器发送HTTP请求（图像等）
Allow requests to web interface using fully-qualified DNS hostnames	在Web接口中允许完全限定的DNS主机名
Allow unsafe renegotiation (required for some client certificates)	允许不安全的重新协商（某些客户端证书需要）
Always	总是
Always disable	始终禁用
Always enable	始终启用
Always take the same action in future	从下一次开始执行相同的操作
An error occurred when recovering project data.	恢复项目数据时发生错误
An error occurred when starting a project with the selected options.	使用所选选项启动项目时发生错误。
An error occurred while attempting to process the activation response. Please check that you are using the latest JRE from Oracle.	处理激活响应时发生错误。请确保您使用的是Oracle最新的JRE。
An error occurred while attempting to verify your license key. Please check that you are using the latest Java Runtime Environment from Oracle, or try re-entering your license key.	验证许可证密钥时发生错误。请确认您使用的是Oracle的最新Java执行环境或重新输入许可证密钥。
An error occurred while loading the extension. Any output or error messages generated are shown below.	加载扩展程序时发生错误。生成的输出和错误显示在下面。
An error occurred: Input file is not in correct format	发生错误：输入文件的格式不正确
An error occurred: The input file is not in correct format	发生错误：输入文件的格式不正确
An update is available.	一个更新可用。
An update is available. Please select the build that you want to download.	一个更新可用。请选择您要下载的版本。
Analysis Options	分析选项
Analysis options	分析选项
Analyze and display AMF messages (use with caution)	分析并显示AMF消息（请谨慎使用）
Analyze now	执行分析
Analyze target	目标分析
Analyzing character set	分析字符集
Anomalies	异常
Answering "yes" will avoid accumulating project data for out-of-scope items.	如果选择“是”，则范围外的项目将不会累积在项目数据中。
Any header	任何头部
Any parameter	任何参数
Any status code with Location header	带有Location标头的任何状态代码
Append preprocessed payload	将预处理器有效载荷添加到最后
Append to base parameter value	添加到原始参数值
Application	应用
Application Login	应用登录
Application login	应用登录
April	4月
Are you sure you want to add this item to the site map?	您确定要将此项目添加到Sitemap吗？
Are you sure you want to cancel the download?	您确定要取消下载吗？
Are you sure you want to cancel the import?	您确定要取消导入吗？
Are you sure you want to cancel this macro?	您确定要取消此宏吗？
Are you sure you want to cancel this rule?	您确定要取消此规则吗？
Are you sure you want to cancel this streaming response?	您确定要取消流媒体响应吗？
Are you sure you want to cancel?	你想取消吗？
Are you sure you want to change options and re-run the comparison?	您确定要更改选项并重新执行比较吗？
Are you sure you want to clear all events?	您确定要清除所有活动吗？
Are you sure you want to clear queues?	您确定要清除队列吗？
Are you sure you want to clear the entire request template?	您确定要清除整个请求模板吗？
Are you sure you want to clear the history?	你确定要清除历史吗？
Are you sure you want to clear the list?	您确定要清除列表吗？
Are you sure you want to close the comparison?	你确定要关闭比较吗？
Are you sure you want to close the tracer?	你确定要关闭跟踪器吗？
Are you sure you want to close this Burp Collaborator client? Any further interactions from its payloads will be lost.	您确定要关闭Burp Collaborator客户端吗？来自该有效载荷的后续通信丢失。
Are you sure you want to close this window?	你确定要关闭这个窗口吗？
Are you sure you want to delete the selected item?	您确定要删除所选项吗？
Are you sure you want to delete the selected items?	您确定要删除所选项吗？
Are you sure you want to empty the cookie jar?	你确定要清空cookie jar吗？
Are you sure you want to exit the wizard?	您确定要退出向导吗？
Are you sure you want to exit this content discovery session?	您确定要结束此内容搜索会话吗？
Are you sure you want to exit?	你确定要退出吗？
Are you sure you want to listen on all interfaces?	你确定在所有接口上侦听吗？
Are you sure you want to proceed?	你确定要继续吗？
Are you sure you want to regenerate Burp's CA certificate?	你想重新生成Burp的CA证书吗？
Are you sure you want to remove this action?	您确定要删除此操作吗？
Are you sure you want to remove this certificate?	您确定要删除此证书吗？
Are you sure you want to remove this item?	您确定要删除此项吗？
Are you sure you want to remove this listener?	您确定要删除此侦听器吗？
Are you sure you want to remove this macro?	您确定要删除此宏吗？
Are you sure you want to remove this rule?	您确定要删除此规则吗？
Are you sure you want to restore default Burp Collaborator server options?	您确定要将Burp Collaborator服务器选项重置为默认值吗？
Are you sure you want to restore default Burp Extender options?	您确定要将Burp Extender选项重置为默认值吗？
Are you sure you want to restore default HTML rendering options?	您确定要将HTML呈现选项重置为默认值吗？
Are you sure you want to restore default HTTP message display options?	您确定要将HTTP消息显示选项重置为默认值吗？
Are you sure you want to restore default Java environment options?	您确定要将Java环境选项还原为默认值吗？
Are you sure you want to restore default Python environment options?	您确定要将Python环境选项重置为默认值吗？
Are you sure you want to restore default Ruby environment options?	您确定要将Ruby环境选项重置为默认值吗？
Are you sure you want to restore default SOCKS proxy options?	您确定要恢复默认的SOCKS代理选项吗？
Are you sure you want to restore default SSL negotiation options?	您确定要将SSL协商选项重置为默认值吗？
Are you sure you want to restore default SSL negotiation workarounds options?	SSL协商解决方法您确定要将选项重置为默认值吗？
Are you sure you want to restore default SSL passthrough options?	您确定要将SSL 穿透选项重置为默认值吗？
Are you sure you want to restore default active scanning areas options?	您确定要将活动扫描目标选项重置为默认值吗？
Are you sure you want to restore default active scanning engine options?	您确定要将活动扫描引擎选项重置为默认值吗？
Are you sure you want to restore default active scanning optimization options?	您确定要将活动扫描优化选项重置为默认值吗？
Are you sure you want to restore default application login options?	您确定要将应用程序登录选项重置为默认值吗？
Are you sure you want to restore default attack insertion points options?	您确定要将攻击插入点选项重置为默认值吗？
Are you sure you want to restore default attack results options?	您确定要将攻击结果选项重置为默认值吗？
Are you sure you want to restore default automatic project backup options?	您确定要将自动项目备份选项重置为默认值吗？
Are you sure you want to restore default character set options?	您确定要将字符集选项重置为默认值吗？
Are you sure you want to restore default client SSL certificates options?	您确定要将客户端SSL证书选项重置为默认值吗？
Are you sure you want to restore default cookie jar options?	您确定要将cookie jar选项重置为默认值吗？
Are you sure you want to restore default crawler options?	您确定要将抓取工具选项重置为默认值吗？
Are you sure you want to restore default extract grep options?	您确定要将提取的grep选项重置为默认值吗？
Are you sure you want to restore default form submission options?	您确定要将表单提交选项重置为默认值吗？
Are you sure you want to restore default hostname resolution options?	您确定要将主机名解析选项重置为默认值吗？
Are you sure you want to restore default hotkey options?	您确定要将热键选项重置为默认值吗？
Are you sure you want to restore default intercept WebSockets messages options?	您确定要将WebSocket消息的拦截选项重置为默认值吗？
Are you sure you want to restore default intercept client requests options?	您确定要将客户端请求的拦截选项重置为默认值吗？
Are you sure you want to restore default intercept server responses options?	您确定要将服务器响应拦截选项重置为默认值吗？
Are you sure you want to restore default live active scanning options?	您确定要将实时活动扫描选项重置为默认值吗？
Are you sure you want to restore default live capture options?	您确定要将实时捕捉选项重置为默认值吗？
Are you sure you want to restore default live passive scanning options?	您确定要将实时被动扫描选项重置为默认值吗？
Are you sure you want to restore default logging options?	您确定要将日志记录选项重置为默认值吗？
Are you sure you want to restore default macros options?	您确定要将宏选项重置为默认值吗？
Are you sure you want to restore default match and replace options?	您确定要将搜索和替换选项重置为默认值吗？
Are you sure you want to restore default match grep options?	您确定要将match grep选项重置为默认值吗？
Are you sure you want to restore default miscellaneous proxy options?	您确定要将其他代理选项还原为默认值吗？
Are you sure you want to restore default miscellaneous proxy settings options?	您确定要还原默认代理配置选项吗？
Are you sure you want to restore default out-of-scope requests options?	您确定要将范围外请求选项重置为默认值吗？
Are you sure you want to restore default passive scanning areas options?	您确定要将被动扫描目标选项重置为默认值吗？
Are you sure you want to restore default passive spidering options?	您确定要将被动拼接选项重置为默认值吗？
Are you sure you want to restore default performance feedback options?	您确定要将性能反馈选项重置为默认值吗？
Are you sure you want to restore default platform authentication options?	您确定要将平台身份验证选项重置为默认值吗？
Are you sure you want to restore default proxy history logging options?	您确定要将代理历史记录日志选项恢复为默认值吗？
Are you sure you want to restore default proxy listeners options?	您确定要将代理侦听器选项还原为默认值吗？
Are you sure you want to restore default redirections options?	您确定要将重定向选项重置为默认值吗？
Are you sure you want to restore default request engine options?	您确定要将请求引擎选项重置为默认值吗？
Are you sure you want to restore default request headers options?	您确定要将请求标头选项重置为默认值吗？
Are you sure you want to restore default response modification options?	您确定要将响应操作选项重置为默认值吗？
Are you sure you want to restore default rest api options?	您确定要将REST API选项重置为默认值吗？
Are you sure you want to restore default scan issues options?	您确定要将扫描项目选项重置为默认值吗？
Are you sure you want to restore default scheduled tasks options?	您确定要将计划任务选项还原为默认值吗？
Are you sure you want to restore default server SSL certificates options?	您确定要将服务器SSL证书选项重置为默认值吗？
Are you sure you want to restore default session handling rules options?	您确定要将会话处理规则选项重置为默认值吗？
Are you sure you want to restore default spider engine options?	您确定要将Spider引擎选项重置为默认值吗？
Are you sure you want to restore default spider scope options?	您确定要将Spider范围选项重置为默认值吗？
Are you sure you want to restore default static code analysis options?	您确定要将静态代码分析选项重置为默认值吗？
Are you sure you want to restore default status 100 responses options?	状态100响应您确定要将选项重置为默认值吗？
Are you sure you want to restore default streaming responses options?	您确定要将流式响应选项重置为默认值吗？
Are you sure you want to restore default target scope options?	您确定要将目标范围选项重置为默认值吗？
Are you sure you want to restore default temporary files location options?	您确定要将临时文件位置选项重置为默认值吗？
Are you sure you want to restore default timeouts options?	您确定要将超时选项重置为默认值吗？
Are you sure you want to restore default token analysis options?	您确定要将令牌分析选项重置为默认值吗？
Are you sure you want to restore default token handling options?	您确定要将令牌处理选项重置为默认值吗？
Are you sure you want to restore default upstream proxy servers options?	您确定要还原为默认代理服务器选项吗？
Are you sure you want to restore default user interface options?	您确定要将用户界面选项重置为默认值吗？
Are you sure you want to restore defaults for Project options?	您确定要恢复为项目选项的默认值吗？
Are you sure you want to restore defaults for Proxy?	您确定要将代理选项重置为默认值吗？
Are you sure you want to restore defaults for Repeater?	您确定要将重放器选项恢复为默认值吗？
Are you sure you want to restore defaults for Scanner?	您确定要将扫描器选项重置为默认值吗？
Are you sure you want to restore defaults for Sequencer?	您确定要将定序器选项重置为默认值吗？
Are you sure you want to restore defaults for Spider?	您确定要将Spider的选项重置为默认值吗？
Are you sure you want to restore defaults for Target?	您确定要将目标选项重置为默认值吗？
Are you sure you want to restore defaults for all project options?	您确定要将所有项目选项重置为默认值吗？
